Description,Country,ADM1,ADM2,ADM3,ADM4,Latitude,Longitude,Name,pcode,fips,iso_alpha2,iso_alpha3,iso_num,stanag,tld
IDP Camp,Syria,As Suwayda',As-Sweida,As-Sweida,Kherba,32.588,36.447,Kharaba Church East IDP Camp ,SY130000C6150,SY,SY,SYR,785,SYR,.sy
IDP Camp,Syria,As Suwayda‘,As-Sweida,As-Sweida,Kherba,32.583,36.439,Kharaba IDP Camp,SY130000C6150,SY,SY,SYR,786,SYR,.sy
IDP Camp,Syria,Damascus Countryside,Duma,Sabe Byar,Sabe Byar,32.857,37.82,Khashm al Ghardush IDP Camp,SY030202C2345,SY,SY,SYR,789,SYR,.sy
IDP Camp,Syria,Damascus Countryside,Duma,Sabe Byar,Sabe Byar,33.311,38.674,Ruqban Border Crossing IDP Camp,SY030202C2345,SY,SY,SYR,801,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Ash-Shajara,Ash-Shajara,32.775,35.886,Ash Shajarah IDP Camp 01,SY120003C6021,SY,SY,SYR,764,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Ash-Shajara,Ash-Shajara,32.777,35.883,Ash Shajarah IDP Camp 02,SY120003C6021,SY,SY,SYR,765,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Busra Esh-Sham,Tisiya,32.418,36.457,Tisiya IDP Camp,SY120001C6000,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Halab,Afrin,Afrin,Baselhaya,36.467,36.951,Basselhaya IDP Camp,SY020300C1371,SY,SY,SYR,771,SYR,.sy
IDP Camp,Syria,Halab,Afrin,Jandairis,Deir Ballut,36.323,36.661,Dayr Ballut Atimah IDP Camp,SY020302C1435,SY,SY,SYR,774,SYR,.sy
IDP Camp,Syria,Halab,Ain Al Arab,Ain Al Arab,Ain Al Arab,36.894,38.331,Kobane Ayn al Arab IDP Camp,SY020600C1946,SY,SY,SYR,792,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Salama,36.632,37.084,Azaz Border Crossing Refugee Camp,SY020400C1561,SY,SY,SYR,767,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Salama,36.623,37.092,Qassarjah Sudji IDP Camp,SY020400C1561,SY,SY,SYR,798,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.661,37.136,Shamarin IDP Camp North,SY020400C1566,SY,SY,SYR,806,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.653,37.128,Shamarin IDP Camp West,SY020400C1566,SY,SY,SYR,807,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.654,37.14,Sharmarin Camp,SY020400C1566,SY,SY,SYR,808,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,Suran,Zayzafun -Ekdeh,36.66,37.182,Ikadah IDP Camp,SY020405C1658,SY,SY,SYR,777,SYR,.sy
IDP Camp,Syria,Halab,Jarablus,Jarablus,Jarablus,36.824,38.012,Jarabulus IDP Camp,SY020800C2227,SY,SY,SYR,778,SYR,.sy
IDP Camp,Syria,Homs,Homs,Hasyaa,Hasyaa,34.404,36.764,Hisyah IDP Camp,SY040108C2675,SY,SY,SYR,776,SYR,.sy
IDP Camp,Syria,Idlib,Dana,Harim,Qah,36.293,36.701,Atimah IDP Camp Southeast,SY070301C4131,SY,SY,SYR,766,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Aqrabat,36.277,36.723,Aqrabat IDP Camp,SY070301C4127,SY,SY,SYR,762,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Aqrabat,36.266,36.702,Aqrabat Southwest IDP Camp,SY070301C4127,SY,SY,SYR,763,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Aqrabat,36.268,36.721,Kafaldin North IDP Camp,SY070301C4127,SY,SY,SYR,781,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Aqrabat,36.263,36.729,Kafaldn Meydan IDP Camp,SY070301C4127,SY,SY,SYR,782,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Deir Hassan,36.211,36.715,Bab al Hawa Lower IDP Camp,SY070301C4129,SY,SY,SYR,768,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Deir Hassan,36.213,36.715,Bab al Hawa Upper IDP Camp,SY070301C4129,SY,SY,SYR,769,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Deir Hassan,36.206,36.73,Sarmada IDP Camp,SY070301C4129,SY,SY,SYR,803,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Deir Hassan,36.209,36.723,Sarmada IDP Camp 02,SY070301C4129,SY,SY,SYR,804,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Deir Hassan,36.204,36.734,Sarmada IDP Camp 03,SY070301C4129,SY,SY,SYR,805,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Qah,36.293,36.728,Qah IDP Camp,SY070301C4131,SY,SY,SYR,795,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Qah,36.283,36.719,Qah Southwest IDP Camp,SY070301C4131,SY,SY,SYR,796,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Qah,36.29,36.711,Qah West IDP Camp,SY070301C4131,SY,SY,SYR,797,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Sarmada,36.218,36.693,Dar Kuwayta Camp Northeast,SY070301C4121,SY,SY,SYR,773,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Sarmada,36.183,36.691,Sarfud IDP Camp,SY070301C4121,SY,SY,SYR,802,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Dana,Sarmada,36.201,36.71,Shaykh Hasan Camp Southwest,SY070301C4121,SY,SY,SYR,809,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Harim,Harim,36.227,36.561,Baraka Khirbat Kisah IDP Camp,SY070300C4115,SY,SY,SYR,770,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Harim,Kafr Hum,36.198,36.474,Kafr Hum IDP Camp,SY070300C4117,SY,SY,SYR,783,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Salqin,Bozanti,36.175,36.406,Muzanta IDP Camp,SY070302C4144,SY,SY,SYR,794,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Salqin,Kafarna,36.197,36.432,Khirbat Farraziyah Athme MSF Harem IDP Camp,SY070302C4149,SY,SY,SYR,790,SYR,.sy
IDP Camp,Syria,Idlib,Harim,Salqin,Kafr Jat,36.182,36.432,Kafr Jat IDP Camp,SY070302C4139,SY,SY,SYR,784,SYR,.sy
IDP Camp,Syria,Idlib,Jisr-Ash-Shugur,Badama,Badama,35.831,36.192,Al Hambushiyah IDP Camp,SY070401C4226,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Idlib,Jisr-Ash-Shugur,Badama,Badama,35.804,36.158,Ubin IDP Camp,SY070401C4226,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Idlib,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Dgali,35.914,36.379,Qirmidah IDP Camp,SY070400C4214,SY,SY,SYR,799,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Hanadi,Shir,35.541,35.85,Rudu IDP Camp,SY060006C3563,SY,SY,SYR,800,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Lattakia,Burj Elqasab,35.56,35.748,Latakia Aquatic Sports Facility IDP Camp,SY060000C3474,SY,SY,SYR,793,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Rebee'a,Samira - Sallur,35.857,36.111,Qarah Bibar IDP Camp ,SY060002C3501,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Rebee'a,Samira - Sallur,35.841,36.134,Yamadiyah IDP Camp ,SY060002C3501,SY,SY,SYR,813,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Rebee'a,Samira - Sallur,35.825,36.134,Yamadiyah South IDP Camp,SY060002C3501,SY,SY,SYR,814,SYR,.sy
IDP Camp,Syria,Latakia,Lattakia,Rebee'a,Samira - Sallur,35.819,36.134,Zaytunjuq IDP Camp,SY060002C3501,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Tartus,Tartous,Tartous,Ennabiya,34.858,35.893,Hayy ar Radar IDP Camp,SY100000C5238,SY,SY,SYR,775,SYR,.sy
IDP Camp,Syria,Tartus,Tartous,Tartous,Ennabiya,34.851,35.907,Shirkat As Sahil IDP Camp,SY100000C5238,SY,SY,SYR,810,SYR,.sy
IDP Camp,Syria,Tartus,Tartous,Tartous,Hisheh,34.787,35.926,Al Hishah IDP Camp,SY100000C5243,SY,SY,SYR,760,SYR,.sy
IDP Camp,Syria,Tartus,Tartous,Tartous,Tartous,34.891,35.889,Tartus IDP Camp,SY100000C5221,SY,SY,SYR,812,SYR,.sy
